Player,Salary_Rank_2020,2015,2016,2017,2018,2019,2020
Stephen Curry,1.0,11370786.0,12112359.0,34682550.0,37457154.0,40231758.0,43006362.0
Chris Paul,2.0,21468695.0,22868827.0,24268959.0,35654150.0,38506482.0,41358814.0
Russell Westbrook,3.0,16744218.0,26540100.0,28299399.0,35665000.0,38506482.0,41358814.0
James Harden,4.0,15719062.0,26540100.0,28299399.0,30570000.0,38199000.0,41254920.0
John Wall,5.0,14728844.0,15756438.0,18063850.0,19169800.0,38199000.0,41254920.0
Kevin Durant,6.0,21971850.0,26540100.0,25000000.0,30000000.0,37199000.0,40108950.0
LeBron James,7.0,22970500.0,30963450.0,33285709.0,35654150.0,37436858.0,39219566.0
Paul George,8.0,16900000.0,18100000.0,19300000.0,30560700.0,33005556.0,35450412.0
Klay Thompson,9.0,15501000.0,16663575.0,17826150.0,18988725.0,32742000.0,35361360.0
Mike Conley,10.0,9680000.0,26540100.0,28530608.0,30521115.0,32511623.0,34502132.0
Kemba Walker,11.0,12000000.0,12000000.0,12000000.0,12000000.0,32742000.0,34379100.0
Kawhi Leonard,12.0,16407500.0,17638063.0,18868625.0,23114066.0,32742000.0,34379100.0
Jimmy Butler,13.0,16407500.0,17552209.0,18696918.0,19841627.0,32742000.0,34379100.0
Tobias Harris,14.0,16000000.0,17200000.0,16000000.0,14800000.0,32742000.0,34358850.0
Blake Griffin,15.0,18862876.0,20093064.0,29512900.0,31873932.0,34449964.0,33900241.0
Kyrie Irving,16.0,16407500.0,17638063.0,18868626.0,20099189.0,31742000.0,33722850.0
Khris Middleton,17.0,14700000.0,15200000.0,14100000.0,13000000.0,30603448.0,33051724.0
Anthony Davis,18.0,7070730.0,22116750.0,23775506.0,25434263.0,27093019.0,32742000.0
Damian Lillard,19.0,4236286.0,24328425.0,26153057.0,27977689.0,29802321.0,31626953.0
Kevin Love,20.0,19689000.0,21165675.0,22642350.0,24119025.0,28942830.0,31258256.0
Pascal Siakam,21.0,,1196040.0,1312611.0,1544951.0,2351838.0,30559200.0
Ben Simmons,22.0,,5903160.0,6168840.0,6434520.0,8113929.0,30559200.0
Kyle Lowry,23.0,12000000.0,12000000.0,28903704.0,32700000.0,33296296.0,30500000.0
Steven Adams,24.0,2279040.0,3140517.0,22471911.0,24157304.0,25842697.0,29592695.0
Nikola Jokic,25.0,1300000.0,1358500.0,1471382.0,25467250.0,27504630.0,29542010.0
Andrew Wiggins,26.0,5758680.0,6006600.0,7574322.0,25467250.0,27504630.0,29542010.0
Joel Embiid,27.0,4626960.0,4826160.0,6100266.0,25467250.0,27504630.0,29542010.0
Devin Booker,28.0,2055840.0,2223600.0,2319360.0,3314365.0,27285000.0,29467800.0
Kristaps Porzingis,29.0,4131720.0,4317720.0,4503600.0,5697054.0,27285000.0,29467800.0
Karl-Anthony Towns,30.0,5703600.0,5960160.0,6216840.0,7839435.0,27285000.0,29467800.0
CJ McCollum,31.0,2525160.0,3219579.0,23962573.0,25759766.0,27556959.0,29354152.0
Andre Drummond,32.0,3272090.0,22116750.0,23775506.0,25434262.0,27093018.0,28751774.0
Bradley Beal,33.0,5694673.0,22116750.0,23775506.0,25434262.0,27093018.0,28751774.0
D'Angelo Russell,34.0,5103120.0,5332800.0,5562360.0,7019698.0,27285000.0,28649250.0
Gordon Hayward,35.0,15409570.0,16073140.0,29727900.0,31214295.0,32700690.0,28500000.0
Otto Porter,36.0,4662960.0,5893981.0,24773250.0,26011913.0,27250576.0,28489239.0
DeMar DeRozan,37.0,9500000.0,26540100.0,27739975.0,27739975.0,27739975.0,27739975.0
Giannis Antetokounmpo,38.0,1953960.0,2995420.0,22471911.0,24157304.0,25842697.0,27528088.0
Rudy Gobert,39.0,1175880.0,2121287.0,21224719.0,23491573.0,25258427.0,27525281.0
Al Horford,40.0,12000000.0,26540100.0,27734405.0,28928710.0,28000000.0,27500000.0
Jamal Murray,41.0,,3210840.0,3355320.0,3499800.0,4444746.0,27285000.0
